"234","IN","India","Andhra Pradesh","Rishikonda","91"
"235","IN","India","Andhra Pradesh","Salur","91"
"236","IN","India","Andhra Pradesh","Samalkot","91"
"237","IN","India","Andhra Pradesh","Sattenapalle","91"
"238","IN","India","Andhra Pradesh","Seetharampuram","91"
"239","IN","India","Andhra Pradesh","Serilungampalle","91"
"240","IN","India","Andhra Pradesh","Shankarampet","91"
"241","IN","India","Andhra Pradesh","Shar","91"
"242","IN","India","Andhra Pradesh","Singarayakonda","91"
"243","IN","India","Andhra Pradesh","Sirpur","91"
"244","IN","India","Andhra Pradesh","Sirsilla","91"
"245","IN","India","Andhra Pradesh","Sompeta","91"
"246","IN","India","Andhra Pradesh","Sriharikota","91"
"247","IN","India","Andhra Pradesh","Srikakulam","91"
"248","IN","India","Andhra Pradesh","Srikalahasti","91"
"249","IN","India","Andhra Pradesh","Sriramnagar","91"
"250","IN","India","Andhra Pradesh","Sriramsagar","91"
"251","IN","India","Andhra Pradesh","Srisailam","91"
"252","IN","India","Andhra Pradesh","Srisailamgudem Devasthanam","91"
"253","IN","India","Andhra Pradesh","Sulurpeta","91"
"254","IN","India","Andhra Pradesh","Suriapet","91"
"255","IN","India","Andhra Pradesh","Suryaraopet","91"
"256","IN","India","Andhra Pradesh","Tadepalle","91"
"257","IN","India","Andhra Pradesh","Tadepalligudem","91"
"258","IN","India","Andhra Pradesh","Tadpatri","91"
"259","IN","India","Andhra Pradesh","Tallapalle","91"
"260","IN","India","Andhra Pradesh","Tanuku","91"
"261","IN","India","Andhra Pradesh","Tekkali","91"
"262","IN","India","Andhra Pradesh","Tenali","91"
"263","IN","India","Andhra Pradesh","Tigalapahad","91"
"264","IN","India","Andhra Pradesh","Tiruchanur","91"
"265","IN","India","Andhra Pradesh","Tirumala","91"
"266","IN","India","Andhra Pradesh","Tirupati","91"
"267","IN","India","Andhra Pradesh","Tirvuru","91"
"268","IN","India","Andhra Pradesh","Trimulgherry","91"
"269","IN","India","Andhra Pradesh","Tuni","91"
"270","IN","India","Andhra Pradesh","Turangi","91"
"271","IN","India","Andhra Pradesh","Ukkayapalli","91"
"272","IN","India","Andhra Pradesh","Ukkunagaram","91"
"273","IN","India","Andhra Pradesh","Uppal Kalan","91"
"274","IN","India","Andhra Pradesh","Upper Sileru","91"
"275","IN","India","Andhra Pradesh","Uravakonda","91"
"276","IN","India","Andhra Pradesh","Vadlapudi","91"
"277","IN","India","Andhra Pradesh","Vaparala","91"
"278","IN","India","Andhra Pradesh","Vemalwada","91"
"279","IN","India","Andhra Pradesh","Venkatagiri","91"
"280","IN","India","Andhra Pradesh","Venkatapuram","91"
"281","IN","India","Andhra Pradesh","Vepagunta","91"
"282","IN","India","Andhra Pradesh","Vetapalem","91"
"283","IN","India","Andhra Pradesh","Vijayapuri","91"
"284","IN","India","Andhra Pradesh","Vijayapuri South","91"
"285","IN","India","Andhra Pradesh","Vijayawada","91"
"286","IN","India","Andhra Pradesh","Vinukonda","91"
"287","IN","India","Andhra Pradesh","Visakhapatnam","91"
"288","IN","India","Andhra Pradesh","Vizianagaram","91"
"289","IN","India","Andhra Pradesh","Vuyyuru","91"
"290","IN","India","Andhra Pradesh","Wanparti","91"
"291","IN","India","Andhra Pradesh","West Godavari Dist.","91"
"292","IN","India","Andhra Pradesh","Yadagirigutta","91"
"293","IN","India","Andhra Pradesh","Yarada","91"
"294","IN","India","Andhra Pradesh","Yellamanchili","91"
"295","IN","India","Andhra Pradesh","Yemmiganur","91"
"296","IN","India","Andhra Pradesh","Yenamalakudru","91"
"297","IN","India","Andhra Pradesh","Yendada","91"
"298","IN","India","Andhra Pradesh","Yerraguntla","91"
"299","IN","India","Arunachal Pradesh","Along","91"
"300","IN","India","Arunachal Pradesh","Basar","91"
"301","IN","India","Arunachal Pradesh","Bondila","91"
"302","IN","India","Arunachal Pradesh","Changlang","91"
"303","IN","India","Arunachal Pradesh","Daporijo","91"
"304","IN","India","Arunachal Pradesh","Deomali","91"
"305","IN","India","Arunachal Pradesh","Itanagar","91"
"306","IN","India","Arunachal Pradesh","Jairampur","91"
"307","IN","India","Arunachal Pradesh","Khonsa","91"
"308","IN","India","Arunachal Pradesh","Naharlagun","91"
"309","IN","India","Arunachal Pradesh","Namsai","91"
"310","IN","India","Arunachal Pradesh","Pasighat","91"
"311","IN","India","Arunachal Pradesh","Roing","91"
"312","IN","India","Arunachal Pradesh","Seppa","91"
"313","IN","India","Arunachal Pradesh","Tawang","91"
"314","IN","India","Arunachal Pradesh","Tezu","91"
"315","IN","India","Arunachal Pradesh","Ziro","91"
"316","IN","India","Assam","Abhayapuri","91"
"317","IN","India","Assam","Ambikapur","91"
"318","IN","India","Assam","Amguri","91"
"319","IN","India","Assam","Anand Nagar","91"
"320","IN","India","Assam","Badarpur","91"
"321","IN","India","Assam","Badarpur Railway Town","91"
"322","IN","India","Assam","Bahbari Gaon","91"
"323","IN","India","Assam","Bamun Sualkuchi","91"
"324","IN","India","Assam","Barbari","91"
"325","IN","India","Assam","Barpathar","91"
"326","IN","India","Assam","Barpeta","91"
"327","IN","India","Assam","Barpeta Road","91"
"328","IN","India","Assam","Basugaon","91"
"329","IN","India","Assam","Bihpuria","91"
"330","IN","India","Assam","Bijni","91"
"331","IN","India","Assam","Bilasipara","91"
"332","IN","India","Assam","Biswanath Chariali","91"
"333","IN","India","Assam","Bohori","91"
"334","IN","India","Assam","Bokajan","91"
"335","IN","India","Assam","Bokokhat","91"
"336","IN","India","Assam","Bongaigaon","91"
"337","IN","India","Assam","Bongaigaon Petro-chemical Town","91"
"338","IN","India","Assam","Borgolai","91"
"339","IN","India","Assam","Chabua","91"
"340","IN","India","Assam","Chandrapur Bagicha","91"
"341","IN","India","Assam","Chapar","91"
"342","IN","India","Assam","Chekonidhara","91"
"343","IN","India","Assam","Choto Haibor","91"
"344","IN","India","Assam","Dergaon","91"
"345","IN","India","Assam","Dharapur","91"
"346","IN","India","Assam","Dhekiajuli","91"
"347","IN","India","Assam","Dhemaji","91"
"348","IN","India","Assam","Dhing","91"
"349","IN","India","Assam","Dhubri","91"
"350","IN","India","Assam","Dhuburi","91"
"351","IN","India","Assam","Dibrugarh","91"
"352","IN","India","Assam","Digboi","91"
"353","IN","India","Assam","Digboi Oil Town","91"
"354","IN","India","Assam","Dimaruguri","91"
"355","IN","India","Assam","Diphu","91"
"356","IN","India","Assam","Dispur","91"
"357","IN","India","Assam","Doboka","91"
"358","IN","India","Assam","Dokmoka","91"
"359","IN","India","Assam","Donkamokan","91"
"360","IN","India","Assam","Duliagaon","91"
"361","IN","India","Assam","Duliajan","91"
"362","IN","India","Assam","Duliajan No.1","91"
"363","IN","India","Assam","Dum Duma","91"
"364","IN","India","Assam","Durga Nagar","91"
"365","IN","India","Assam","Gauripur","91"
"366","IN","India","Assam","Goalpara","91"
"367","IN","India","Assam","Gohpur","91"
"368","IN","India","Assam","Golaghat","91"
"369","IN","India","Assam","Golakganj","91"
"370","IN","India","Assam","Gossaigaon","91"
"371","IN","India","Assam","Guwahati","91"
"372","IN","India","Assam","Haflong","91"
